Group	Classification	Enzyme	EC	Subunit	KO	Methanohunt_classification	If_key_in_enzyme	Module	Note
Methanogenesis	Methanogenesis (mcr)	Mcr	2.8.4.1	McrA	K00399	McrA (methanogen)	TRUE	mcr	Kofam currently cannot reliably distinguish methanogen-type mcr and ANME-type mcr
Methanogenesis	Methanogenesis (mcr)	Mcr	2.8.4.1	McrA	K00399	McrA (ANME)	TRUE	mcr	Kofam currently cannot reliably distinguish methanogen-type mcr and ANME-type mcr
Methanogenesis	Methanogenesis (mcr)	Mcr	2.8.4.1	McrA	K00399	McrA (ANKA)	TRUE	mcr	Kofam currently cannot reliably distinguish methanogen-type mcr and ANME-type mcr
Methanogenesis	Methanogenesis (mcr)	Mcr	2.8.4.1	AtwA	K00400		FALSE	mcr	
Methanogenesis	Methanogenesis (mcr)	Mcr	2.8.4.1	McrB	K00401		FALSE	mcr	
Methanogenesis	Methanogenesis (mcr)	Mcr	2.8.4.1	McrG	K00402		FALSE	mcr	
Methanogenesis	Methanogenesis (mcr)	Mcr	2.8.4.1	McrC	K03421		FALSE	mcr	
Methanogenesis	Methanogenesis (mcr)	Mcr	2.8.4.1	McrD	K03422		FALSE	mcr	
Methanogenesis	Hydrogenotrophic & Acetotrophic	Mtr	7.2.1.4	MtrA	K00577		TRUE	mtr	
Methanogenesis	Hydrogenotrophic & Acetotrophic	Mtr	7.2.1.4	MtrB	K00578		FALSE	mtr	
Methanogenesis	Hydrogenotrophic & Acetotrophic	Mtr	7.2.1.4	MtrC	K00579		FALSE	mtr	
Methanogenesis	Hydrogenotrophic & Acetotrophic	Mtr	7.2.1.4	MtrD	K00580		FALSE	mtr	
Methanogenesis	Hydrogenotrophic & Acetotrophic	Mtr	7.2.1.4	MtrE	K00581		FALSE	mtr	
Methanogenesis	Hydrogenotrophic & Acetotrophic	Mtr	7.2.1.4	MtrF	K00582		FALSE	mtr	
Methanogenesis	Hydrogenotrophic & Acetotrophic	Mtr	7.2.1.4	MtrG	K00583		FALSE	mtr	
Methanogenesis	Hydrogenotrophic & Acetotrophic	Mtr	7.2.1.4	MtrH	K00584		FALSE	mtr	
Methanogenesis	Hydrogenotrophic	Mer	1.5.98.2	Mer	K00320		TRUE	mer	
Methanogenesis	Hydrogenotrophic	Mtd	1.5.98.1	Mtd	K00319		TRUE	mtd/mtdAB/hmd	
Methanogenesis	Hydrogenotrophic	MtdAB	1.5.1.5	MtdA	K00300		FALSE	mtd/mtdAB/hmd	
Methanogenesis	Hydrogenotrophic	MtdAB	1.5.1.5	MtdB	K10714		FALSE	mtd/mtdAB/hmd	
Methanogenesis	Hydrogenotrophic	Hmd	1.12.98.2	Hmd	K13942		FALSE	mtd/mtdAB/hmd	
Methanogenesis	Hydrogenotrophic	Mch	3.5.4.27	Mch	K01499		TRUE	mch	
Methanogenesis	Hydrogenotrophic	Ftr	2.3.1.101	Ftr	K00672		TRUE	ftr	
Methanogenesis	Hydrogenotrophic	Fwd	1.2.7.12	FwdA	K00200		TRUE	fwd	
Methanogenesis	Hydrogenotrophic	Fwd	1.2.7.12	FwdB	K00201		FALSE	fwd	
Methanogenesis	Hydrogenotrophic	Fwd	1.2.7.12	FwdC	K00202		FALSE	fwd	
Methanogenesis	Hydrogenotrophic	Fwd	1.2.7.12	FwdD	K00203		FALSE	fwd	
Methanogenesis	Hydrogenotrophic	Fwd	1.2.7.12	FwdH	K00204		FALSE	fwd	
Methanogenesis	Hydrogenotrophic	Fwd	1.2.7.12	FwdF	K00205		FALSE	fwd	
Methanogenesis	Hydrogenotrophic	Fwd	1.2.7.12	FwdE	K11261		FALSE	fwd	
Methanogenesis	Hydrogenotrophic	Fwd	1.2.7.12	FwdG	K11260		FALSE	fwd	
Methanogenesis	Acetoclastic	Ack	2.7.2.1	AckA	K00925		TRUE	[ack+pta]/acs	
Methanogenesis	Acetoclastic	Pta	2.3.1.8	Pta	K00625		TRUE	[ack+pta]/acs	
Methanogenesis	Acetoclastic	Acs	6.2.1.1	Acs	K01895		TRUE	[ack+pta]/acs	
Methanogenesis	Acetoclastic	ACDS	2.3.1.169	CdhC	K00193		TRUE	ACDS	
Methanogenesis	Acetoclastic	ACDS	2.1.1.245	CdhE	K00197		FALSE	ACDS	
Methanogenesis	Acetoclastic	ACDS	2.1.1.245	CdhD	K00194		FALSE	ACDS	
Methanogenesis	Methylotrophic (Methanol)	Mta	2.1.1.246 2.1.1.377	MtaA	K14080		TRUE	mta	
Methanogenesis	Methylotrophic (Methanol)	Mta	2.1.1.90	MtaB	K04480		FALSE	mta	
Methanogenesis	Methylotrophic (Methanol)	Mta	NA	MtaC	K14081		FALSE	mta	
Methanogenesis	Methylotrophic (Methylamine)	Mtm	2.1.1.248	MtmB	K16176		TRUE	mtm+mtbA	
Methanogenesis	Methylotrophic (Methylamine)	Mtm	NA	MtmC	K16177		FALSE	mtm+mtbA	
Methanogenesis	Methylotrophic (Dimethylamine)	Mtb	2.1.1.249	MtbB	K16178		TRUE	mtb+mtbA	
Methanogenesis	Methylotrophic (Dimethylamine)	Mtb	NA	MtbC	K16179		FALSE	mtb+mtbA	
Methanogenesis	Methylotrophic (Trimethylamine)	Mtt	2.1.1.250	MttB	K14083		TRUE	mtt+mtbA	
Methanogenesis	Methylotrophic (Trimethylamine)	Mtt	NA	MttC	K14084		FALSE	mtt+mtbA	
